ORIGIN,ORIGIN_CITY_NAME_NEW,ORIGIN_STATE_ABR,ORIGIN_STATE_NM
EVV,Evansville,IN,Indiana
EWN,New Bern/Morehead/Beaufort,NC,North Carolina
EWR,Newark,NJ,New Jersey
EYW,Key West,FL,Florida
FAI,Fairbanks,AK,Alaska
FAR,Fargo,ND,North Dakota
FAT,Fresno,CA,California
FAY,Fayetteville,NC,North Carolina
FCA,Kalispell,MT,Montana
FLG,Flagstaff,AZ,Arizona
FLL,Fort Lauderdale,FL,Florida
FNT,Flint,MI,Michigan
FSD,Sioux Falls,SD,South Dakota
FSM,Fort Smith,AR,Arkansas
FWA,Fort Wayne,IN,Indiana
GCC,Gillette,WY,Wyoming
GCK,Garden City,KS,Kansas
GEG,Spokane,WA,Washington
GFK,Grand Forks,ND,North Dakota
GGG,Longview,TX,Texas
GJT,Grand Junction,CO,Colorado
GNV,Gainesville,FL,Florida
GPT,Gulfport/Biloxi,MS,Mississippi
GRB,Green Bay,WI,Wisconsin
GRI,Grand Island,NE,Nebraska
GRK,Killeen,TX,Texas
GRR,Grand Rapids,MI,Michigan
GSO,Greensboro/High Point,NC,North Carolina
GSP,Greer,SC,South Carolina
GTF,Great Falls,MT,Montana
GTR,Columbus,MS,Mississippi
GUC,Gunnison,CO,Colorado
GUM,Guam,TT,U.S. Pacific Trust Territories and Possessions
HDN,Hayden,CO,Colorado
HGR,Hagerstown,MD,Maryland
HHH,Hilton Head,SC,South Carolina
HIB,Hibbing,MN,Minnesota
HLN,Helena,MT,Montana
HNL,Honolulu,HI,Hawaii
HOB,Hobbs,NM,New Mexico
HOU,Houston,TX,Texas
HPN,White Plains,NY,New York
HRL,Harlingen/San Benito,TX,Texas
HSV,Huntsville,AL,Alabama
HTS,Ashland,WV,West Virginia
HVN,New Haven,CT,Connecticut
HYS,Hays,KS,Kansas
IAD,Washington,VA,Virginia
IAG,Niagara Falls,NY,New York
IAH,Houston,TX,Texas
ICT,Wichita,KS,Kansas
IDA,Idaho Falls,ID,Idaho
ILM,Wilmington,NC,North Carolina
IMT,Iron Mountain/Kingsfd,MI,Michigan
IND,Indianapolis,IN,Indiana
INL,International Falls,MN,Minnesota
ISN,Williston,ND,North Dakota
ISP,Islip,NY,New York
ITH,Ithaca/Cortland,NY,New York
ITO,Hilo,HI,Hawaii
JAC,Jackson,WY,Wyoming
JAN,Jackson/Vicksburg,MS,Mississippi
JAX,Jacksonville,FL,Florida
JFK,New York,NY,New York
JLN,Joplin,MO,Missouri
JMS,Jamestown,ND,North Dakota
JNU,Juneau,AK,Alaska
KOA,Kona,HI,Hawaii
KTN,Ketchikan,AK,Alaska
LAN,Lansing,MI,Michigan
LAR,Laramie,WY,Wyoming
LAS,Las Vegas,NV,Nevada
LAW,Lawton/Fort Sill,OK,Oklahoma
LAX,Los Angeles,CA,California
LBB,Lubbock,TX,Texas
LBE,Latrobe,PA,Pennsylvania
LBF,North Platte,NE,Nebraska
LBL,Liberal,KS,Kansas
LCH,Lake Charles,LA,Louisiana
LCK,Columbus,OH,Ohio
LEX,Lexington,KY,Kentucky
LFT,Lafayette,LA,Louisiana
LGA,New York,NY,New York
LGB,Long Beach,CA,California
LIH,Lihue,HI,Hawaii
LIT,Little Rock,AR,Arkansas
LNK,Lincoln,NE,Nebraska
LRD,Laredo,TX,Texas
LSE,La Crosse,WI,Wisconsin
LWB,Lewisburg,WV,West Virginia
LWS,Lewiston,ID,Idaho
LYH,Lynchburg,VA,Virginia
MAF,Midland/Odessa,TX,Texas
MBS,Saginaw/Bay City/Midland,MI,Michigan
MCI,Kansas City,MO,Missouri
MCO,Orlando,FL,Florida
MDT,Harrisburg,PA,Pennsylvania
MDW,Chicago,IL,Illinois
MEI,Meridian,MS,Mississippi
MEM,Memphis,TN,Tennessee
MFE,Mission/McAllen/Edinburg,TX,Texas
MFR,Medford,OR,Oregon
MGM,Montgomery,AL,Alabama
MHK,Manhattan/Ft. Riley,KS,Kansas
MHT,Manchester,NH,New Hampshire
MIA,Miami,FL,Florida
MKE,Milwaukee,WI,Wisconsin
MKG,Muskegon,MI,Michigan
MLB,Melbourne,FL,Florida
MLI,Moline,IL,Illinois
MLU,Monroe,LA,Louisiana
MMH,Mammoth Lakes,CA,California
MOB,Mobile,AL,Alabama
MOT,Minot,ND,North Dakota
MQT,Marquette,MI,Michigan
MRY,Monterey,CA,California
MSN,Madison,WI,Wisconsin
MSO,Missoula,MT,Montana
MSP,Minneapolis,MN,Minnesota
MSY,New Orleans,LA,Louisiana
MTJ,Montrose/Delta,CO,Colorado
MYR,Myrtle Beach,SC,South Carolina
OAJ,Jacksonville/Camp Lejeune,NC,North Carolina
OAK,Oakland,CA,California
OGD,Ogden,UT,Utah
OGG,Kahului,HI,Hawaii
OGS,Ogdensburg,NY,New York
OKC,Oklahoma City,OK,Oklahoma
OMA,Omaha,NE,Nebraska
OME,Nome,AK,Alaska
ONT,Ontario,CA,California
ORD,Chicago,IL,Illinois
ORF,Norfolk,VA,Virginia
ORH,Worcester,MA,Massachusetts
OTH,North Bend/Coos Bay,OR,Oregon
OTZ,Kotzebue,AK,Alaska
OWB,Owensboro,KY,Kentucky
PAH,Paducah,KY,Kentucky
PBG,Plattsburgh,NY,New York
PBI,West Palm Beach/Palm Beach,FL,Florida
PDX,Portland,OR,Oregon
PGD,Punta Gorda,FL,Florida
PHF,Newport News/Williamsburg,VA,Virginia
PHL,Philadelphia,PA,Pennsylvania
PHX,Phoenix,AZ,Arizona
PIA,Peoria,IL,Illinois
PIB,Hattiesburg/Laurel,MS,Mississippi
PIE,St. Petersburg,FL,Florida
PIH,Pocatello,ID,Idaho
PIT,Pittsburgh,PA,Pennsylvania
PLN,Pellston,MI,Michigan
PNS,Pensacola,FL,Florida
PPG,Pago Pago,TT,U.S. Pacific Trust Territories and Possessions
PRC,Prescott,AZ,Arizona
PSC,Pasco/Kennewick/Richland,WA,Washington
PSE,Ponce,PR,Puerto Rico
PSG,Petersburg,AK,Alaska
PSM,Portsmouth,NH,New Hampshire
PSP,Palm Springs,CA,California
PUB,Pueblo,CO,Colorado
PVD,Providence,RI,Rhode Island
PVU,Provo,UT,Utah
PWM,Portland,ME,Maine
RAP,Rapid City,SD,South Dakota
RDD,Redding,CA,California
RDM,Bend/Redmond,OR,Oregon
RDU,Raleigh/Durham,NC,North Carolina
RFD,Rockford,IL,Illinois
RHI,Rhinelander,WI,Wisconsin
RIC,Richmond,VA,Virginia
RKS,Rock Springs,WY,Wyoming
RNO,Reno,NV,Nevada
ROA,Roanoke,VA,Virginia
ROC,Rochester,NY,New York
ROW,Roswell,NM,New Mexico
RST,Rochester,MN,Minnesota
RSW,Fort Myers,FL,Florida
SAF,Santa Fe,NM,New Mexico
SAN,San Diego,CA,California
SAT,San Antonio,TX,Texas
SAV,Savannah,GA,Georgia
SBA,Santa Barbara,CA,California
SBN,South Bend,IN,Indiana
SBP,San Luis Obispo,CA,California
SCC,Deadhorse,AK,Alaska
SCE,State College,PA,Pennsylvania
SCK,Stockton,CA,California
SDF,Louisville,KY,Kentucky
SEA,Seattle,WA,Washington
SFB,Sanford,FL,Florida
SFO,San Francisco,CA,California
SGF,Springfield,MO,Missouri
SGU,St. George,UT,Utah
SHD,Staunton,VA,Virginia
SHV,Shreveport,LA,Louisiana
SIT,Sitka,AK,Alaska
SJC,San Jose,CA,California
SJT,San Angelo,TX,Texas
SJU,San Juan,PR,Puerto Rico
SLC,Salt Lake City,UT,Utah
SLN,Salina,KS,Kansas
SMF,Sacramento,CA,California
SMX,Santa Maria,CA,California
SNA,Santa Ana,CA,California
SPI,Springfield,IL,Illinois
SPN,Saipan,TT,U.S. Pacific Trust Territories and Possessions
SPS,Wichita Falls,TX,Texas
SRQ,Sarasota/Bradenton,FL,Florida
STC,St. Cloud,MN,Minnesota
STL,St. Louis,MO,Missouri
STS,Santa Rosa,CA,California
STT,Charlotte Amalie,VI,U.S. Virgin Islands
STX,Christiansted,VI,U.S. Virgin Islands
SUN,Sun Valley/Hailey/Ketchum,ID,Idaho
SUX,Sioux City,IA,Iowa
SWF,Newburgh/Poughkeepsie,NY,New York
SWO,Stillwater,OK,Oklahoma
SYR,Syracuse,NY,New York
TLH,Tallahassee,FL,Florida
TOL,Toledo,OH,Ohio
TPA,Tampa,FL,Florida
TRI,Bristol/Johnson City/Kingsport,TN,Tennessee
TTN,Trenton,NJ,New Jersey
TUL,Tulsa,OK,Oklahoma
TUS,Tucson,AZ,Arizona
TVC,Traverse City,MI,Michigan
TWF,Twin Falls,ID,Idaho
TXK,Texarkana,AR,Arkansas
TYR,Tyler,TX,Texas
TYS,Knoxville,TN,Tennessee
UIN,Quincy,IL,Illinois
USA,CONCORD,NC,North Carolina
VEL,Vernal,UT,Utah
VLD,Valdosta,GA,Georgia
VPS,Valparaiso,FL,Florida
WRG,Wrangell,AK,Alaska
XNA,Fayetteville,AR,Arkansas
YAK,Yakutat,AK,Alaska
YUM,Yuma,AZ,Arizona
